name,level,hp,ac,fortitude,reflex,will,attack_bonus,spell_dc,spell_attack_bonus
Shoal Linnorm,15,295,38,+29,+25,+22,"+31, +31, +31",36,
Shocker Lizard,2,32,18,+7,+10,+7,"+10, +10",,
Shoggoth,18,275 ( fast healing  20),39,+33,+30,+30,+35,,
Shoggti,7,105,25,+16,+12,+14,"+18, +18",23,
Shotalashu,2,35,18,+8,+10,+11,+10,,
Shredskin,2,30 ( negative healing ),16,+6,+10,+8,"+10, +11",,
Shrine Skelm,5,80,22,+13,+12,+11,"+15, +15",22,
Shuln,12,195,33,+25,+19,+21,"+25, +25",,
Shulsaga,3,35,19,+7,+11,+10,"+9, +11",18,10
Siabrae,16,"218 ( negative healing , rejuvenation)",36,+28,+24,+31,+28,"41, 41",33
Silent Stalker,13,220 ( negative healing ),34,+22,+24,+22,+27,,
Silvanshee,1,20,17,+5,+9,+6,"+9, +9","16, 16",
Simurgh,18,350,41,+30,+29,+32,"+34, +34, +34, +34",42,
Sinspawn,2,30,16,+10,+9,+6,"+10, +10",,
Skaveling,5,80,22,+11,+13,+15,"+15, +15",,
Skeletal Champion,2,25 ( void healing ),19,+5,+10,+6,"+10, +10, +10",,
Skeletal Giant,3,50 ( void healing ),17,+8,+8,+7,"+12, +12",,
Skeletal Horse,2,33 ( void healing ),16,+6,+9,+8,+9,,
Skeletal Hulk,7,105 ( void healing ),25,+15,+15,+13,+18,,
Skeletal Mage,5,60 ( negative healing ),21,+9,+11,+13,+11,22,14
Skeletal Soldier,1,16 ( negative healing ),17,+6,+7,+5,"+9, +9, +9",,
Skeletal Titan,13,210 ( negative healing ),33,+23,+24,+21,"+24, +26, +26, +26",31,
Skeleton Guard,-1,4 ( void healing ),16,+2,+8,+2,"+6, +6, +6",,
Skeleton Infantry,11,180 (16 squares),31,+21,+18,+19,,,
Skinstitch,5,95,22,+16,+14,+7,"+15, +15",,
Skrik Nettle,6,130 ( fast healing 5 ),22,+10,+17,+14,+17,,
Skulk,1,21,16,+7,+8,+5,"+8, +8",,
Skull Peeler,6,75,24,+13,+16,+11,"+17, +17",,
Skulltaker,18,300 ( void healing ),42,+31,+33,+35,"+33, +35, +35",40,
Skum,2,40,16,+7,+7,+4,"+7, +10, +10, +10",,
Skunk,-1,7,15,+4,+7,+3,+7,,
Sky Fisher,11,200,30,+22,+22,+15,+24,,
Skymetal Striker,7,100,26,+15,+17,+13,"+17, +17",,
Slime Mold,2,60,12,+11,+3,+4,+8,,
Slithering Pit,7,220,14,+18,+6,+11,+18,,
Sluagh Reaper,10,175 ( negative healing ),29,+17,+21,+19,+23,26,
Slug,8,165,25,+21,+11,+14,"+17, +21, +21",,
Slurk,2,35,17,+10,+6,+4,"+9, +11",,
Smaranava,7,115,27,+15,+17,+15,"+20, +20",25,
Smilodon,6,110,23,+15,+12,+10,"+16, +16",,
Smith,3,50,17,+9,+8,+5,"+8, +10",,
Snapdrake,8,144,26,+16,+11,+19,"+14, +16",,
Snapping Flytrap,3,50,18,+12,+8,+7,+11,,
Snapping Turtle,-1,9,16,+8,+1,+3,+6,,
Snow Oni,13,290,33,+23,+25,+21,"+25, +27, +27",31,
Sod Hound,3,44,19,+12,+6,+7,+11,,
Solar,23,500,49,+40,+34,+37,"+40, +44",46,38
Solar Crow,10,170,30,+18,+22,+17,"+22, +22",,
Soniphak,9,180,27,+21,+21,+15,"+19, +19, +19",,
Sootsoldiers,10,165 (16 squares),30,+20,+21,+18,,,
Sorcerous Skull Swarm,14,190 ( negative healing ),34,+22,+26,+26,,36,26
Soul Eater,7,80,26,+13,+19,+15,+19,,
Soul Skelm,10,170,29,+19,+17,+21,"+22, +22, +23",29,
Soulbound Doll,2,23,17,+7,+10,+6,+10,18,10
Spark Bat,2,18,19,+5,+11,+7,+11,,
Spear Frog,0,12,14,+5,+7,+6,+7,,
Specter,7,95 ( negative healing ),25,+13,+17,+15,+16,,
Sphinx,8,135,27,+16,+14,+19,+20,27,
Spider Swarm,0,12,15,+4,+7,+2,,,
Spinosaurus,11,200,30,+23,+21,+19,"+23, +23",,
Spiny Eurypterid,5,70,22,+16,+11,+10,"+15, +15",,
Spiral Centurion,11,170,31,+22,+25,+16,+23,,
Spirit Naga,9,160,28,+15,+20,+18,+19,28,20
Sporeback Frog,5,94,21,+15,+12,+9,"+13, +15",,
Sportlebore Swarm,7,85,25,+15,+17,+13,,,
Spriggan Bully,3,48,19,+9,+11,+8,"+10, +11",20,
Spriggan Warlord,7,120,25,+13,+17,+14,"+18, +18",25,
Sprigjack,-1,10,15,+5,+7,+3,"+7, +7",,
Sprite,-1,7,15,+2,+8,+4,"+8, +8",16,
Spy,6,90,23,+11,+17,+14,"+14, +16",,
Squirming Swill,2,28 ( negative healing ),17,+11,+9,+6,"+9, +9",,
Squirrel Swarm,1,16,16,+5,+8,+4,,,
Star Archon,19,400,43,+31,+34,+34,"+38, +38",43,
Stargut Hydra,9,"150 ((body), hydra regeneration  HP  22 (head), head regrowth)",27,+21,+18,+14,+21,,
Steam Mephit,1,19 ( fast healing  2 (in boiling water or steam)),16,+9,+7,+5,+7,17,
Stegosaurus,7,125,23,+17,+13,+13,"+18, +18",,
Stheno Harpist,1,19,16,+8,+7,+4,"+7, +7, +7",17,
Stingray,0,15,16,+5,+7,+5,+7,,
Stone Bulwark,11,175,30,+24,+18,+19,"+22, +24",,
Stone Giant,8,150,27,+18,+14,+14,"+18, +20, +21",,
Stone Lion,4,50,21,+11,+9,+13,,21,
Stone Lion Cub,2,28,18,+6,+7,+10,,17,
Stone Mauler,9,180,27,+23,+15,+19,"+21, +21",,
Stonefish,0,15,16,+9,+6,+3,"+6, +7",,
Stonefish Swarm,2,25,16,+11,+8,+5,,,
Stony Bat,3,48,18,+9,+11,+7,+11,,
Stony Goat,2,28,17,+8,+11,+5,+8,,
Storm Giant,13,235,34,+28,+21,+23,"+27, +28, +37",33,
Storm Hag,5,95,21,+15,+9,+12,"+13, +15, +15",22,
Storm Lord,9,120,30,+15,+20,+16,"+20, +20",,
Storm Snake,5,70,21,+12,+15,+9,+12,,
Street Skelm,3,55,18,+10,+9,+8,"+9, +12, +12, +13",,
Striding Fire,6,115,24,+11,+17,+14,+17,,
String Slime,3,90,10,+12,+0,+5,+11,,
Strix Kinmate,2,24,18,+6,+10,+7,"+10, +10, +10",,
Sturzstromer,19,280,41,+33,+35,+29,,41,
Stygira,7,80,26,+15,+13,+19,+17,25,
Succubus,7,100,23,+15,+14,+17,+16,26,
Sulfur Zombie,6,125 ( negative healing ),23,+16,+12,+10,+17,,
Suli Dune Dancer,1,16,15,+3,+5,+5,+7,17,9
Sumbreiva,16,290 ( negative healing ),39,+25,+33,+27,"+33, +33, +33",36,
Sunflower Leshy,1,20,16,+4,+10,+7,"+6, +6",17,
Sunscale Serpent,14,251,36,+25,+26,+28,"+28, +28",31,
Surgeon,2,30,17,+7,+7,+10,"+11, +11",,
Sweet Hag,4,70,21,+11,+11,+12,+14,20,14
Swordfish,3,50,18,+10,+12,+7,+12,,
Swordkeeper,10,285,29,+21,+19,+14,"+23, +23, +23",,
Sykever,15,335 ( negative healing ),37,+25,+25,+31,"+31, +31",36,
Sylph Sneak,1,17,18,+4,+9,+8,"+9, +9",,
Tabellia,14,285,36,+27,+26,+22,+30,36,28
Taiga Giant,12,230,32,+25,+20,+22,"+25, +25, +26",,
Taiga Linnorm,19,385,44,+35,+31,+29,"+37, +37, +37",41,
Taldan Cave Squirrel,5,95,21,+13,+15,+9,"+13, +15, +15",,
Talos Gadgeteer,1,17 (plus 5 temporary HP (from ablative armor plating)),17,+6,+6,+5,"+6, +8, +8",14,
Tantriog,7,118,24,+18,+15,+12,"+13, +15, +15",25,
Tardigrade Swarm,12,140,28,+26,+21,+19,,,
Tarn Linnorm,20,400,46,+36,+32,+31,"+38, +38, +38",42,
Tattoo Guardian,3,50,19,+8,+11,+6,+10,,
Tatzlwyrm,2,30,18,+11,+5,+8,"+10, +10",,
Taunting Skull,5,80 ( negative healing ),22,+10,+14,+11,+14,,
Tax Collector,-1,8,14,+2,+3,+9,"+5, +5",,
Teacher,-1,5,12,+1,+2,+6,+4,,
Tendriculos,7,120,25,+17,+12,+13,"+18, +18",,
Tengu Sneak,2,27,19,+7,+10,+4,"+10, +10, +10",,
Terotricus,19,370,42,+34,+28,+33,"+37, +37",,
Terra-Cotta Garrison,13,240 (16 squares),27,+25,+19,+20,,,
Terra-Cotta Soldier,6,120,24,+17,+14,+10,"+16, +17",,
Terror Bird,2,30,17,+11,+9,+4,"+10, +10",,
Terror Shrike,4,60,20,+13,+12,+7,"+13, +13",,
Thanadaemon,13,270,34,+21,+23,+26,"+27, +28",34,
Thanatotic Titan,22,540,46,+37,+34,+35,"+39, +39, +42",45,
Theletos,7,125,25,+16,+13,+18,"+17, +17",25,17
Therizinosaurus,9,210,27,+21,+16,+16,+21,,
Thrasfyr,17,350,40,+35,+28,+27,"+32, +32, +32, +34",37,
Three-Toed Sloth,-1,10,14,+7,+5,+3,+6,,
Thruneosaurus Rex,17,290,39,+31,+25,+29,"+33, +33",,
Thulgant,18,305 ( fast healing  10),42,+30,+28,+32,"+35, +35",40,
Thunderbird,11,200,31,+24,+20,+22,"+23, +24, +24",,
Tick Swarm,9,130,28,+19,+19,+14,,,
Tidal Master,9,155,28,+18,+21,+15,+21,,
Tiddalik,7,155,22,+19,+11,+15,"+15, +19",,
Tidehawk,12,213 (self-resurrection),32,+21,+25,+22,"+26, +26, +26",32,
Tiefling Adept,3,29,17,+5,+7,+8,"+6, +7, +7","17, 21",11
Tiger,4,60,21,+13,+11,+8,"+13, +13",,
Tikbalang,9,197,27,+19,+17,+14,"+20, +20",29,
Titan Centipede,9,155,28,+20,+16,+18,"+19, +21",,
Titanosaur,16,370,38,+33,+28,+29,"+32, +32",,
Tolokand,15,245,36,+30,+25,+25,+31,"37, 37",
Tomb Giant,12,255 ( negative healing ),32,+22,+19,+25,"+24, +26, +27",32,
Tomb Jelly,5,150,12,+15,+4,+7,+15,,
Tomb Raider,5,75,21,+10,+15,+11,"+15, +15",,
Tooth Fairy,-1,8,15,+2,+7,+4,+7,13,
Tooth Fairy Swarm,3,28,18,+5,+10,+7,,,
Tor Linnorm,21,440,47,+38,+35,+33,"+40, +40, +40",44,
Torchbearer,0,15,15,+5,+7,+5,"+5, +5, +7",,
Tormented,14,250 ( negative healing ),35,+22,+26,+27,+28,,
Toshigami,15,370,35,+25,+28,+30,+30,36,
Totenmaske,7,128 ( negative healing ),25,+15,+17,+13,"+18, +18",,
Tracker,3,45,20,+9,+11,+9,"+9, +11",,
Trailgaunt,3,45 ( negative healing ),19,+12,+6,+8,+12,,
Treerazer,25,550,54,+42,+40,+43,"+45, +47",49,43
Triceratops,8,140,26,+18,+12,+14,"+19, +19",,
Trilobite,-1,7,15,+4,+7,+4,+7,,
Trilobite Swarm,3,30,18,+10,+9,+7,,,
Triton,2,30,18,+5,+11,+8,"+9, +10",,
Triumph Siktempora,14,190,35,+25,+24,+26,+30,32,
Troll Warleader,10,240,29,+23,+17,+15,"+23, +23, +24",,
Trollhound,3,65,17,+14,+8,+6,+11,,
Troodon,1,20,16,+4,+8,+5,"+8, +8",,
Troubadour,3,38,19,+5,+10,+8,"+12, +12","21, 21",
Trumpet Archon,14,285,36,+24,+24,+27,+29,34,
Tupilaq,7,87,26,+17,+15,+12,+19,24,
Twigjack,3,50,19,+9,+11,+7,"+11, +11",,
Twins of Rowan,13,273,34,+24,+17,+27,"+25, +26, +26",,
Two-Headed Troll,8,190,24,+20,+15,+14,"+13, +18, +18, +18",,
Tylosaurus,8,137,27,+17,+19,+14,"+19, +21",,
Tyrafdir,11,"190 ((body), hydra regeneration)",30,+24,+21,+18,"+24, +24",,
Tyrannosaurus,10,180,29,+21,+15,+19,"+22, +22",,
Tyrannosaurus Skeleton,9,140 ( negative healing ),27,+20,+13,+17,"+20, +20",,
Tzitzimitl,19,"390 ( fast healing  15,  negative healing )",43,+29,+32,+35,"+34, +34",38,
Ugothol,4,60,21,+9,+9,+12,"+12, +14",19,
Umasi,6,99 (immortal flesh),23,+16,+11,+12,"+16, +17, +17",,
Umbral Gnome Rockwarden,5,63,22,+12,+9,+14,"+10, +11","21, 24",14
Umbral Gnome Scout,1,18,17,+7,+9,+5,"+7, +9",14,
Umbral Gnome Warrior,2,34,18,+9,+8,+5,"+8, +10",15,
Umonlee,15,320,39,+28,+26,+23,"+31, +31",,
Undine Hydromancer,1,15,16,+4,+5,+7,"+7, +7","17, 17","9, 9"
Unicorn,3,45,20,+10,+8,+11,"+12, +12",21,
Unrisen,11,"220 (meant to live,  negative healing )",28,+22,+17,+21,"+24, +24",,
Urchin,-1,8,15,+2,+7,+3,"+5, +5, +5",,
Urdefhan Tormentor,5,77 ( negative healing ),21,+11,+10,+15,"+12, +14",23,15
Urdefhan Warrior,3,55 ( negative healing ),18,+9,+8,+9,"+10, +12, +12",17,9
Urveth,18,460 ( negative healing ),40,+32,+29,+34,"+36, +36, +36",40,
Uthul,14,250,36,+28,+29,+22,"+29, +29",,
Valkyrie,12,215,33,+24,+20,+23,"+26, +28",29,
Vampire Bat Swarm,1,11,15,+6,+9,+6,,,
Vampire Count,6,"65 (coffin restoration,  fast healing  7,  void healing )",24,+11,+14,+17,"+17, +17",,
Vampire Mastermind,9,"115 (coffin restoration,  fast healing  10,  void healing )",27,+15,+18,+20,+18,29,19
Vampire Servitor,4,"40 (coffin restoration,  fast healing  5,  void healing )",22,+9,+13,+11,+14,,
Vampire Squid,0,15,16,+4,+8,+6,"+7, +7",,
Vampiric Mist,3,35,18,+8,+12,+9,+10,,
Vanara Disciple,1,16,19,+5,+9,+8,"+4, +7, +7",13,
Vanth,7,105,27,+15,+13,+17,"+17, +18",22,
Vanyver,13,295 ( negative healing ),34,+29,+23,+22,"+27, +27, +27",34,
Vaspercham,17,335,41,+31,+25,+32,"+33, +33",41,
Vault Builder,23,465,47,+36,+41,+35,"+37, +37, +37, +39","50, 50","42, 42"
Vault Keeper,14,200,36,+24,+28,+22,"+28, +28, +28",34,26
Vegetable Lamb,1,28,14,+6,+3,+8,"+6, +8",,
Veiled Current,8,100,28,+15,+19,+13,"+19, +19",,
Veldenar,11,190,32,+24,+21,+18,+25,,
Velociraptor,1,20,16,+5,+7,+4,"+8, +8",,
Venedaemon,5,75,21,+9,+11,+14,+13,"22, 22",
Veranallia,20,475,45,+36,+34,+38,"+39, +39",42,32
Verdurous Ooze,6,157,12,+17,+8,+10,+15,,
Vescavor Queen,9,150,28,+17,+19,+15,"+19, +20, +20, +20",,
Vescavor Swarm,5,60,21,+11,+15,+9,,,
Vetalarana Emergent,8,"100 ( fast healing 10 , mental rebirth,  negative healing )",26,+14,+17,+16,"+20, +20",,
Vetalarana Manipulator,11,"140 ( fast healing 10 , mental rebirth,  negative healing )",28,+19,+19,+24,+21,"30, 30",22
Vexgit,1,24,16,+5,+9,+6,"+8, +11",17,
Vibrant Pup Swarm,11,140,29,+24,+21,+18,,,
Vicharamuni,10,175,31,+20,+21,+22,"+22, +22, +22",29,21
Vidileth,14,270,34,+26,+22,+24,"+28, +28, +28",37,
Vilderavn,16,300,40,+25,+30,+28,"+32, +32, +34",37,
Vine Leshy,0,13,15,+3,+5,+8,"+5, +6",15,
Violet Fungus,3,60,17,+10,+7,+6,+11,,
Viper,-1,8,14,+2,+7,+5,+6,,
Viper Swarm,4,50,18,+11,+13,+10,,,
Viper Vine,13,270,33,+26,+24,+22,"+27, +27",,
Virtuosic Lyrebird,6,65,24,+9,+17,+14,"+12, +12",24,16
Vishkanya Infiltrator,3,45,19,+6,+11,+8,"+11, +11",,
Void Zombie,1,26 ( negative healing ),13,+7,+3,+5,"+6, +8",,
Voidworm,1,16 ( fast healing  1),17,+5,+9,+6,"+9, +9",16,
Vordine,5,60,22,+14,+13,+10,"+13, +15, +15, +15",19,
Vrock,9,185,28,+20,+18,+15,"+19, +21, +21",26,
Vrolikai,20,440,45,+35,+33,+34,"+38, +38, +40",44,
Vrykolakas Ancient,13,250 ( negative healing ),34,+23,+24,+21,"+27, +27",33,
Vrykolakas Master,10,190 ( negative healing ),30,+19,+21,+17,"+23, +23",29,
Vrykolakas Spawn,6,99 ( negative healing ),24,+14,+16,+12,"+17, +17",,
Vulpinal,6,105,24,+12,+14,+15,"+15, +15","24, 24",
Waldgeist,8,100 ( negative healing ),26,+13,+16,+18,+18,24,16
War Horse,2,36,17,+8,+7,+6,+9,,
War Pony,1,20,16,+8,+7,+5,+7,,
Warden,6,96,25,+12,+12,+12,"+16, +17",,
Warden of Caverns and Burrows,22,500,45,+39,+36,+33,"+33, +33, +41, +41",,
Warden of Forests and Meadows,22,435,48,+34,+42,+36,"+38, +40, +40, +40",45,41
Warden of Ocean and Rivers,22,540,47,+39,+36,+33,"+41, +43",,
Warden of Peaks and Skies,22,445,48,+36,+40,+38,"+39, +41, +41",45,
Warg,2,36,17,+11,+9,+6,+11,,
Warsworn,16,350 ( void healing ),37,+29,+25,+27,"+28, +30, +32",,
Wasp Swarm,4,45,18,+10,+12,+8,,,
Watch Officer,3,45,20,+10,+6,+8,"+10, +13",,
Water Orm,10,170,30,+21,+19,+17,"+24, +24",,
Water Scamp,1,20 ( fast healing 2  (while underwater)),16,+7,+11,+4,+8,17,9
Water Wisp,0,20,14,+8,+4,+4,+6,,
Wayang Whisperblade,1,19,16,+6,+9,+5,+8,,
Weasel,-1,7,15,+4,+7,+2,+7,,
Web Lurker,3,45,19,+10,+11,+8,"+11, +11, +11",,
Wemmuth,15,335 (blood leech),37,+27,+27,+24,"+27, +29",,
Wendigo,17,315,40,+32,+30,+26,"+33, +33",38,
Werebat,2,35,18,+9,+10,+7,"+10, +10, +10, +10",,
Werebear,4,75,23,+12,+10,+10,"+10, +13, +13, +13, +13",,
Wereboar,2,45,18,+10,+5,+8,"+7, +10, +10, +10",,
Werecrocodile,2,55,16,+9,+5,+9,"+7, +10, +10, +10",,
Weremoose,3,60,19,+11,+8,+6,"+8, +11, +11, +11",,
Wererat,2,45,19,+6,+10,+8,"+10, +10, +10, +10",,
Wereshark,4,75,21,+12,+11,+8,"+13, +14, +14",,
Weretiger,4,75,21,+11,+13,+9,"+14, +14",,
Werewolf,3,63,17,+11,+9,+7,"+9, +11, +11, +11",,
Whipping Willow,4,75,20,+10,+8,+14,+11,,
Wight,3,"40 (fueled by spite,  void healing )",18,+11,+6,+10,"+10, +12, +12",,
Wight Commander,12,220 ( negative healing ),32,+24,+19,+21,"+26, +27",29,
Wihsaak,6,105,24,+14,+15,+14,+17,23,
Will-O'-Wisp,6,50,27,+10,+16,+14,+17,,
Winter Hag,7,145,24,+14,+13,+16,"+16, +17",25,17
Witchfire,9,125 ( negative healing ),28,+15,+21,+18,"+21, +21",28,
Witchwarg,5,70,23,+13,+15,+10,+15,,
Witchwyrd,6,110,22,+13,+13,+15,"+15, +16",23,
Withered,5,80 ( negative healing ),22,+11,+13,+9,"+13, +14, +14, +14",,
Wizard Sponge,5,65,20,+14,+13,+8,,,
Wolf,1,24,15,+6,+9,+5,+9,,
Wolf Skeleton,0,12 ( negative healing ),16,+3,+8,+6,+8,,
Wolliped,3,55,19,+10,+12,+5,"+10, +10, +12",,
Wolverine,2,34,18,+9,+7,+6,"+11, +11",,
Wood Giant,6,120,24,+17,+14,+13,"+17, +17, +17, +18",23,
Wood Golem,6,95,23,+15,+16,+12,"+16, +17",,
Wood Scamp,1,24,14,+6,+4,+10,+8,15,
Wood Wisp,0,20,16,+5,+2,+8,+5,,
Woolly Rhinoceros,5,100,25,+17,+11,+15,"+16, +16",,
Worm That Walks Cultist,14,200 ( fast healing 10 ),36,+23,+28,+26,+29,34,26
Wraith,6,80 ( void healing ),24,+8,+14,+14,+17,,
Wyrmwraith,17,280 ( negative healing ),39,+29,+32,+32,"+34, +34",35,
Wyrwood Sneak,1,16,17,+3,+9,+8,+9,,
Wyvern,6,95,24,+16,+12,+13,"+15, +17, +17",,
Ximtal,17,380,39,+32,+26,+28,"+34, +34",38,
Xiuh Couatl,12,220,33,+20,+19,+25,+25,32,24
Xoarian,8,130,26,+14,+16,+18,+18,27,
Xorn,7,115,25,+18,+11,+13,"+18, +18",,
Xulgath Leader,3,44,18,+9,+6,+9,"+8, +11, +11, +11",,
Xulgath Skulker,2,28,17,+8,+10,+5,"+9, +10, +10, +10",,
Xulgath Warrior,1,21,14,+8,+7,+4,"+7, +7, +9, +9, +9",,
Yamaraj,20,"375 ( fast healing  20, lightning drinker)",45,+33,+31,+35,"+38, +38, +38",44,
Yellow Musk Brute,2,45,15,+10,+3,+6,+11,,
Yellow Musk Creeper,2,34,18,+10,+6,+4,+9,,
Yellow Musk Thrall,-1,12,14,+6,+0,+2,+7,,
Yeth Hound,3,55,18,+9,+12,+12,+11,20,
Yeti,5,115,21,+15,+11,+13,+15,,
Yithian,9,112,27,+19,+14,+20,+19,28,20
Young Adamantine Dragon,9,140,27,+21,+15,+17,"+19, +19, +21, +21",,
Young Black Dragon,7,125,25,+17,+12,+15,"+17, +17, +19, +19",,
Young Blue Dragon,9,170,28,+19,+18,+19,"+19, +19, +21, +21",28,
Young Brass Dragon,7,125,25,+16,+15,+14,"+17, +19, +19",25,
Young Brine Dragon,8,142,27,+18,+16,+16,"+18, +18, +20, +20",26,18
Young Bronze Dragon,9,170,28,+19,+17,+19,"+19, +21, +21",28,
Young Cloud Dragon,10,175,30,+21,+18,+20,"+21, +21, +23, +23",29,
Young Conspirator Dragon,8,135,27,+14,+15,+18,"+17, +18, +19, +19",26,
Young Copper Dragon,8,150,27,+16,+17,+16,"+18, +20, +20",27,
Young Crystal Dragon,7,105,27,+16,+14,+15,"+16, +18, +18",25,
Young Diabolic Dragon,11,215,30,+23,+20,+21,"+22, +24, +24",28,20
Young Empyreal Dragon,10,170,30,+18,+19,+21,"+20, +20, +22, +22",29,21
Young Forest Dragon,10,195,30,+21,+16,+20,"+23, +23, +23",29,
Young Fortune Dragon,10,175,30,+18,+21,+19,"+19, +21, +21",30,22
Young Gold Dragon,11,230,32,+22,+20,+22,"+22, +22, +24, +24",29,
Young Green Dragon,8,135,28,+16,+16,+17,"+18, +18, +20, +20",26,
Young Horned Dragon,8,135,28,+16,+16,+17,"+18, +18, +20, +20",26,
Young Magma Dragon,9,175,28,+19,+16,+18,"+19, +19, +21, +21",26,18
Young Mirage Dragon,9,155,27,+16,+17,+20,"+18, +20, +20",27,
Young Omen Dragon,7,100,24,+15,+14,+17,"+14, +14, +16, +16",25,
Young Red Dragon,10,210,30,+21,+18,+19,"+21, +21, +23, +23",27,
Young Sea Dragon,8,140,27,+17,+18,+15,"+20, +20, +20",26,
Young Silver Dragon,10,200,31,+20,+17,+21,"+21, +23, +23",28,
Young Sky Dragon,9,155,28,+18,+16,+21,"+21, +21, +21",28,
Young Sovereign Dragon,11,195,31,+22,+18,+24,"+24, +24, +24",30,
Young Umbral Dragon,11,195,31,+22,+20,+22,"+22, +22, +24, +24",30,
Young Underworld Dragon,7,115,25,+18,+13,+15,"+18, +18, +18",25,
Young White Dragon,6,115,23,+16,+14,+11,"+15, +17, +17",,
Yzobu,1,25,16,+9,+6,+4,"+7, +7",,
Zaramuun,16,291,39,+34,+30,+25,"+29, +33",37,31
Zealot of Asmodeus,4,58,22,+9,+7,+11,"+9, +12",19,11
Zebub,3,30,20,+8,+10,+8,+12,17,
Zecui,6,110,23,+14,+17,+12,"+15, +17, +17, +17",,
Zelekhut,9,160,28,+17,+20,+18,+21,28,
Zephyr Hawk,3,36,18,+6,+13,+7,+11,,
Zetogeki,7,90,22,+18,+14,+13,"+18, +18",,
Zoaem,1,20 ( all-around vision ),16,+6,+10,+4,+8,17,
Zombie Brute,2,70 ( void healing ),15,+10,+3,+6,+11,,
Zombie Dragon,9,210 ( negative healing ),27,+19,+18,+16,"+19, +21, +21",,
Zombie Hulk,6,160 ( void healing ),21,+16,+9,+12,"+17, +17",,
Zombie Lord,4,80 ( negative healing ),20,+11,+10,+13,"+12, +12",21,13
Zombie Mammoth,11,290 ( negative healing ),27,+22,+15,+19,"+24, +24, +24",,
Zombie Owlbear,3,85 ( negative healing ),16,+8,+5,+6,"+12, +12",,
Zombie Shambler,-1,20 ( void healing ),12,+6,+0,+2,+7,,
Zombie Snake,0,35 ( negative healing ),13,+6,+3,+2,+7,,
Zomok,16,310,39,+31,+25,+28,"+33, +33, +33",34,26
Zuhra,8,125,26,+16,+17,+17,"+19, +19",26,
Zuhra Shuyookh,13,212,34,+29,+23,+21,"+25, +27",32,24
Zuishin,10,200,30,+19,+23,+17,"+23, +24",29,
Zyss Serpentfolk,2,25,18,+4,+8,+8,"+10, +10, +10",18,
